"UniqID","GeneName","UniProtID","ENSG","Tissue","Log2_FC","CI_Upr","CI_Lwr","PVal","Cor_PVal"
"GGT5|P36269","GGT5","P36269","ENSG00000099998","DLPFC",-0.10079673094222,-0.0396044597915341,-0.161989002092906,0.00140991221600735,0.0186426821644629
"MYO1B|E9PDF6","MYO1B","E9PDF6","ENSG00000128641","DLPFC",-0.0625377812535661,-0.0245647822784566,-0.100510780228676,0.00141276585264265,0.0186426821644629
"ACAT2|Q9BWD1","ACAT2","Q9BWD1","ENSG00000120437","DLPFC",0.0639672697769629,0.102808334443563,0.0251262051103628,0.00141279647843541,0.0186426821644629
"TPM2|P07951","TPM2","P07951","ENSG00000198467","DLPFC",-0.248586343479657,-0.0976394757668657,-0.399533211192448,0.00141326600045027,0.0186426821644629
"TTC37|Q6PGP7","TTC37","Q6PGP7","ENSG00000198677","DLPFC",-0.052462959706476,-0.0206035731814268,-0.0843223462315253,0.00141453491754856,0.0186426821644629
"ARMC10|Q8N2F6-2","ARMC10","Q8N2F6-2","ENSG00000170632","DLPFC",-0.107006578174232,-0.0418041838140256,-0.172208972534439,0.00149131083843632,0.0193034933090653
"SLC9A1|P19634","SLC9A1","P19634","ENSG00000090020","DLPFC",-0.0518058438452895,-0.020336395329793,-0.083275292360786,0.001418901603498,0.0186723215493162
"SLC25A11|Q02978","SLC25A11","Q02978","ENSG00000108528","DLPFC",-0.0528747928497395,-0.0207306335349122,-0.0850189521645669,0.00143089905053308,0.0187793034387135
"RAB24|Q969Q5","RAB24","Q969Q5","ENSG00000169228","DLPFC",0.0342126579311308,0.0550121616669353,0.0134131541953263,0.00143129090516224,0.0187793034387135
"CUL2|Q13617","CUL2","Q13617","ENSG00000108094","DLPFC",-0.0395490598572318,-0.0154971403073025,-0.0636009794071611,0.0014364706943218,0.018819260195892
"ORC4|O43929","ORC4","O43929","ENSG00000115947","DLPFC",0.0753198883551993,0.121257370556285,0.0293824061541137,0.00150130306166559,0.0193034933090653
"SMG1|Q96Q15","SMG1","Q96Q15","ENSG00000157106","DLPFC",0.038077922652888,0.0612433118922496,0.0149125334135263,0.00144185521100542,0.0188617765510902
"MAP2K3|P46734","MAP2K3","P46734","ENSG00000034152","DLPFC",0.0844371413301241,0.135939278136123,0.0329350045241254,0.00150408301047158,0.0193034933090653
"ITGA6|P23229","ITGA6","P23229","ENSG00000091409","DLPFC",0.0646422464558268,0.104003672024648,0.0252808208870052,0.00145570602044199,0.0189890056366795
"AP1G1|O43747","AP1G1","O43747","ENSG00000166747","DLPFC",-0.039602935276356,-0.0154878021569006,-0.0637180683958114,0.00145588837590965,0.0189890056366795
